handle,id,detail_url,image_url
bull-puppy-missile,7007570657471,https://locprecision.com/collections/rocket-kits/products/bull-puppy-missile,//locprecision.com/cdn/shop/products/BullPuppy-V-700_7308b345-339b-4da7-9eb4-36f9413f5573_540x.jpg?v=1661957578
loc-i-nuke,6677843968191,https://locprecision.com/collections/rocket-kits/products/loc-i-nuke,//locprecision.com/cdn/shop/products/49_1809ecb4-28b0-4d7b-a182-40b9c0d403b8_540x.jpg?v=1621662750
loc-i-magnum,6677844033727,https://locprecision.com/collections/rocket-kits/products/loc-i-magnum,//locprecision.com/cdn/shop/products/45_6ae502ef-421a-4399-9d95-a5b8f35a4337_540x.jpg?v=1621604062
big-nuke,6677839446207,https://locprecision.com/collections/rocket-kits/products/big-nuke,//locprecision.com/cdn/shop/products/34_91d6df4e-5627-4837-ac83-9bc6232622ea_540x.jpg?v=1621249286
striker-x,6677844132031,https://locprecision.com/collections/rocket-kits/products/striker-x,//locprecision.com/cdn/shop/products/strykerweb_540x.jpg?v=1640292270
sky-fieri,7754967843049,https://locprecision.com/collections/rocket-kits/products/sky-fieri,//locprecision.com/cdn/shop/products/HNS-KitV_540x.jpg?v=1655566054
callisto,7007562531007,https://locprecision.com/collections/rocket-kits/products/callisto,//locprecision.com/cdn/shop/products/CallistoJustin2smallTN_540x.jpg?v=1633695657
weasel,6677837873343,https://locprecision.com/collections/rocket-kits/products/weasel,//locprecision.com/cdn/shop/products/97_0b4326f2-6b1a-498d-8105-ee703cbcf524_540x.jpg?v=1621675457
magnum,6677839478975,https://locprecision.com/collections/rocket-kits/products/magnum,//locprecision.com/cdn/shop/products/1_7d9288ff-bcf5-4d2d-b565-77d99812d165_540x.jpg?v=1623236600
bumble-bee-rocket,7007574327487,https://locprecision.com/collections/rocket-kits/products/bumble-bee-rocket,//locprecision.com/cdn/shop/products/BBeeWebV-700_540x.jpg?v=1659809019
striker,7007569969343,https://locprecision.com/collections/rocket-kits/products/striker,//locprecision.com/cdn/shop/products/IMG_0924_540x.jpg?v=1669151135
deployer,6677845147839,https://locprecision.com/collections/rocket-kits/products/deployer,//locprecision.com/cdn/shop/products/92_0d2e4b22-2ad7-4b6a-b0b0-99acffee0e6f_540x.jpg?v=1623151086
