mfgID,isModel,name,id,image,description
vorb,N,Launcher One,a44238b2-9ed1-4500-9112-08d79009ab49,h6f2tpss8m6aglarehrd,"LauncherOne is a two-stage orbital launch vehicle under development by Virgin Orbit since 2007. It is an air-launched rocket, designed to carry small satellite payloads of up to 300 kilograms (660 lb) into Sun-synchronous orbit (SSO), following air launch from a carrier aircraft at high altitude. The rocket was first launched to space on 17 January 2021."
hughes,N,AIM54A Phoenix,fd2a6b9a-a9b5-4efe-95d2-c028171b8767,phoenix/YAIM-54A_Phoenix_missile_with_F-14A_Tomcat_in_1973_ttrs9s,"The AIM-54 Phoenix is a radar-guided, long-range air-to-air missile (AAM), carried in clusters of up to six missiles on the Grumman F-14 Tomcat"
