motorId,samples
5f4294d2000231000000000e,"[{""time"": 0.058, ""thrust"": 2.361}, {""time"": 0.102, ""thrust"": 2.921}, {""time"": 0.122, ""thrust"": 3.797}, {""time"": 0.15, ""thrust"": 5.866}, {""time"": 0.18, ""thrust"": 8.373}, {""time"": 0.199, ""thrust"": 9.882}, {""time"": 0.208, ""thrust"": 10.88}, {""time"": 0.216, ""thrust"": 11.367}, {""time"": 0.238, ""thrust"": 11.245}, {""time"": 0.245, ""thrust"": 10.832}, {""time"": 0.262, ""thrust"": 8.982}, {""time"": 0.293, ""thrust"": 6.134}, {""time"": 0.322, ""thrust"": 5.306}, {""time"": 0.357, ""thrust"": 4.917}, {""time"": 0.388, ""thrust"": 4.795}, {""time"": 0.416, ""thrust"": 4.746}, {""time"": 0.46, ""thrust"": 4.625}, {""time"": 0.502, ""thrust"": 4.576}, {""time"": 0.544, ""thrust"": 4.357}, {""time"": 0.575, ""thrust"": 4.503}, {""time"": 0.605, ""thrust"": 4.527}, {""time"": 0.674, ""thrust"": 4.552}, {""time"": 0.731, ""thrust"": 4.454}, {""time"": 0.88, ""thrust"": 4.454}, {""time"": 0.915, ""thrust"": 4.503}, {""time"": 0.96, ""thrust"": 4.406}, {""time"": 1.0, ""thrust"": 4.065}, {""time"": 1.047, ""thrust"": 2.556}, {""time"": 1.049, ""thrust"": 0.0}]"
5f4294d20002310000000010,"[{""time"": 0.036, ""thrust"": 1.364}, {""time"": 0.064, ""thrust"": 2.727}, {""time"": 0.082, ""thrust"": 4.215}, {""time"": 0.111, ""thrust"": 6.694}, {""time"": 0.135, ""thrust"": 9.05}, {""time"": 0.146, ""thrust"": 9.545}, {""time"": 0.172, ""thrust"": 11.901}, {""time"": 0.181, ""thrust"": 12.149}, {""time"": 0.191, ""thrust"": 11.901}, {""time"": 0.211, ""thrust"": 9.174}, {""time"": 0.239, ""thrust"": 7.314}, {""time"": 0.264, ""thrust"": 6.074}, {""time"": 0.275, ""thrust"": 5.95}, {""time"": 0.333, ""thrust"": 5.207}, {""time"": 0.394, ""thrust"": 4.835}, {""time"": 0.445, ""thrust"": 4.835}, {""time"": 0.556, ""thrust"": 4.339}, {""time"": 0.667, ""thrust"": 4.587}, {""time"": 0.723, ""thrust"": 4.339}, {""time"": 0.78, ""thrust"": 4.339}, {""time"": 0.793, ""thrust"": 4.091}, {""time"": 0.812, ""thrust"": 2.603}, {""time"": 0.833, ""thrust"": 1.24}, {""time"": 0.857, ""thrust"": 0.0}]"
5f4294d20002310000000012,"[{""time"": 0.007, ""thrust"": 5.708}, {""time"": 0.013, ""thrust"": 7.211}, {""time"": 0.032, ""thrust"": 6.111}, {""time"": 0.045, ""thrust"": 8.116}, {""time"": 0.056, ""thrust"": 7.717}, {""time"": 0.069, ""thrust"": 9.02}, {""time"": 0.078, ""thrust"": 12.122}, {""time"": 0.087, ""thrust"": 14.76}, {""time"": 0.106, ""thrust"": 13.832}, {""time"": 0.117, ""thrust"": 13.733}, {""time"": 0.125, ""thrust"": 12.636}, {""time"": 0.155, ""thrust"": 12.438}, {""time"": 0.168, ""thrust"": 11.836}, {""time"": 0.2, ""thrust"": 11.243}, {""time"": 0.209, ""thrust"": 11.737}, {""time"": 0.219, ""thrust"": 10.739}, {""time"": 0.266, ""thrust"": 9.846}, {""time"": 0.29, ""thrust"": 9.849}, {""time"": 0.299, ""thrust"": 8.949}, {""time"": 0.367, ""thrust"": 7.456}, {""time"": 0.393, ""thrust"": 7.159}, {""time"": 0.429, ""thrust"": 5.761}, {""time"": 0.487, ""thrust"": 4.567}, {""time"": 0.571, ""thrust"": 2.975}, {""time"": 0.607, ""thrust"": 2.178}, {""time"": 0.669, ""thrust"": 1.084}, {""time"": 0.708, ""thrust"": 0.489}, {""time"": 0.74, ""thrust"": 0.0}]"
5f4294d20002310000000013,"[{""time"": 0.018, ""thrust"": 3.23}, {""time"": 0.041, ""thrust"": 6.874}, {""time"": 0.147, ""thrust"": 8.779}, {""time"": 0.294, ""thrust"": 10.683}, {""time"": 0.365, ""thrust"": 11.31}, {""time"": 0.388, ""thrust"": 10.521}, {""time"": 0.412, ""thrust"": 8.779}, {""time"": 0.441, ""thrust"": 7.04}, {""time"": 0.465, ""thrust"": 4.555}, {""time"": 0.529, ""thrust"": 3.479}, {""time"": 0.629, ""thrust"": 2.981}, {""time"": 0.653, ""thrust"": 3.23}, {""time"": 0.718, ""thrust"": 2.816}, {""time"": 0.853, ""thrust"": 2.733}, {""time"": 1.065, ""thrust"": 2.65}, {""time"": 1.253, ""thrust"": 2.567}, {""time"": 1.453, ""thrust"": 2.401}, {""time"": 1.694, ""thrust"": 2.484}, {""time"": 1.794, ""thrust"": 2.484}, {""time"": 1.812, ""thrust"": 2.733}, {""time"": 1.841, ""thrust"": 2.401}, {""time"": 1.947, ""thrust"": 2.401}, {""time"": 2.112, ""thrust"": 2.401}, {""time"": 2.235, ""thrust"": 2.401}, {""time"": 2.282, ""thrust"": 2.236}, {""time"": 2.312, ""thrust"": 1.656}, {""time"": 2.329, ""thrust"": 0.662}, {""time"": 2.35, ""thrust"": 0.0}]"
5f4294d20002310000000014,"[{""time"": 0.005, ""thrust"": 1.422}, {""time"": 0.031, ""thrust"": 2.695}, {""time"": 0.063, ""thrust"": 5.503}, {""time"": 0.117, ""thrust"": 10.444}, {""time"": 0.151, ""thrust"": 14.374}, {""time"": 0.168, ""thrust"": 16.358}, {""time"": 0.174, ""thrust"": 16.471}, {""time"": 0.179, ""thrust"": 17.594}, {""time"": 0.199, ""thrust"": 18.604}, {""time"": 0.211, ""thrust"": 19.877}, {""time"": 0.217, ""thrust"": 20.401}, {""time"": 0.23, ""thrust"": 20.289}, {""time"": 0.234, ""thrust"": 18.679}, {""time"": 0.239, ""thrust"": 18.23}, {""time"": 0.252, ""thrust"": 13.813}, {""time"": 0.258, ""thrust"": 9.021}, {""time"": 0.265, ""thrust"": 6.588}, {""time"": 0.28, ""thrust"": 4.904}, {""time"": 0.296, ""thrust"": 4.08}, {""time"": 0.349, ""thrust"": 3.481}, {""time"": 0.438, ""thrust"": 2.995}, {""time"": 0.504, ""thrust"": 2.733}, {""time"": 0.611, ""thrust"": 2.807}, {""time"": 0.815, ""thrust"": 2.695}, {""time"": 0.97, ""thrust"": 2.695}, {""time"": 1.335, ""thrust"": 2.695}, {""time"": 1.598, ""thrust"": 2.658}, {""time"": 1.794, ""thrust"": 2.695}, {""time"": 1.96, ""thrust"": 2.733}, {""time"": 1.987, ""thrust"": 1.16}, {""time"": 1.992, ""thrust"": 0.0}]"
5f4294d20002310000000015,"[{""time"": 0.014, ""thrust"": 0.633}, {""time"": 0.026, ""thrust"": 1.533}, {""time"": 0.067, ""thrust"": 2.726}, {""time"": 0.099, ""thrust"": 5.136}, {""time"": 0.15, ""thrust"": 9.103}, {""time"": 0.183, ""thrust"": 11.465}, {""time"": 0.207, ""thrust"": 11.635}, {""time"": 0.219, ""thrust"": 11.391}, {""time"": 0.262, ""thrust"": 6.377}, {""time"": 0.333, ""thrust"": 5.014}, {""time"": 0.349, ""thrust"": 5.209}, {""time"": 0.392, ""thrust"": 4.722}, {""time"": 0.475, ""thrust"": 4.771}, {""time"": 0.653, ""thrust"": 4.746}, {""time"": 0.913, ""thrust"": 4.673}, {""time"": 1.366, ""thrust"": 4.625}, {""time"": 1.607, ""thrust"": 4.625}, {""time"": 1.745, ""thrust"": 4.868}, {""time"": 1.978, ""thrust"": 4.795}, {""time"": 2.023, ""thrust"": 0.828}, {""time"": 2.024, ""thrust"": 0.0}]"
5f4294d20002310000000016,"[{""time"": 0.02, ""thrust"": 0.497}, {""time"": 0.057, ""thrust"": 2.539}, {""time"": 0.089, ""thrust"": 5.132}, {""time"": 0.129, ""thrust"": 7.947}, {""time"": 0.159, ""thrust"": 9.437}, {""time"": 0.171, ""thrust"": 21.247}, {""time"": 0.181, ""thrust"": 23.234}, {""time"": 0.194, ""thrust"": 22.958}, {""time"": 0.204, ""thrust"": 22.185}, {""time"": 0.218, ""thrust"": 19.592}, {""time"": 0.233, ""thrust"": 17.881}, {""time"": 0.258, ""thrust"": 10.486}, {""time"": 0.308, ""thrust"": 2.428}, {""time"": 0.338, ""thrust"": 2.539}, {""time"": 0.385, ""thrust"": 2.98}, {""time"": 0.412, ""thrust"": 3.091}, {""time"": 0.442, ""thrust"": 3.422}, {""time"": 0.459, ""thrust"": 2.98}, {""time"": 0.536, ""thrust"": 3.256}, {""time"": 0.732, ""thrust"": 3.311}, {""time"": 0.747, ""thrust"": 2.483}, {""time"": 0.78, ""thrust"": 2.98}, {""time"": 1.323, ""thrust"": 3.587}, {""time"": 1.365, ""thrust"": 2.815}, {""time"": 1.887, ""thrust"": 3.808}, {""time"": 1.974, ""thrust"": 3.256}, {""time"": 2.1, ""thrust"": 3.532}, {""time"": 2.227, ""thrust"": 3.201}, {""time"": 2.247, ""thrust"": 0.0}]"
5f4294d2000231000000001a,"[{""time"": 0.034, ""thrust"": 1.692}, {""time"": 0.066, ""thrust"": 3.782}, {""time"": 0.107, ""thrust"": 7.566}, {""time"": 0.145, ""thrust"": 10.946}, {""time"": 0.183, ""thrust"": 14.832}, {""time"": 0.214, ""thrust"": 17.618}, {""time"": 0.226, ""thrust"": 18.213}, {""time"": 0.256, ""thrust"": 20.107}, {""time"": 0.281, ""thrust"": 21.208}, {""time"": 0.298, ""thrust"": 21.73}, {""time"": 0.306, ""thrust"": 20.206}, {""time"": 0.323, ""thrust"": 17.321}, {""time"": 0.337, ""thrust"": 14.931}, {""time"": 0.358, ""thrust"": 13.236}, {""time"": 0.385, ""thrust"": 11.947}, {""time"": 0.413, ""thrust"": 11.65}, {""time"": 0.468, ""thrust"": 10.946}, {""time"": 0.539, ""thrust"": 10.45}, {""time"": 0.619, ""thrust"": 10.648}, {""time"": 0.683, ""thrust"": 10.648}, {""time"": 0.715, ""thrust"": 10.648}, {""time"": 0.726, ""thrust"": 10.053}, {""time"": 0.74, ""thrust"": 8.163}, {""time"": 0.758, ""thrust"": 5.773}, {""time"": 0.778, ""thrust"": 3.185}, {""time"": 0.795, ""thrust"": 1.394}, {""time"": 0.81, ""thrust"": 0.0}]"
5f4294d2000231000000001b,"[{""time"": 0.05, ""thrust"": 6.79}, {""time"": 0.168, ""thrust"": 8.788}, {""time"": 0.318, ""thrust"": 10.46}, {""time"": 0.385, ""thrust"": 10.07}, {""time"": 0.402, ""thrust"": 7.909}, {""time"": 0.469, ""thrust"": 5.432}, {""time"": 0.486, ""thrust"": 3.914}, {""time"": 0.687, ""thrust"": 3.115}, {""time"": 1.122, ""thrust"": 2.876}, {""time"": 2.06, ""thrust"": 2.636}, {""time"": 3.349, ""thrust"": 2.397}, {""time"": 4.639, ""thrust"": 2.156}, {""time"": 5.727, ""thrust"": 1.997}, {""time"": 6.163, ""thrust"": 1.837}, {""time"": 6.263, ""thrust"": 3.994}, {""time"": 6.347, ""thrust"": 2.317}, {""time"": 6.364, ""thrust"": 0.719}, {""time"": 6.39, ""thrust"": 0.0}]"
5f4294d2000231000000001c,"[{""time"": 0.036, ""thrust"": 3.336}, {""time"": 0.084, ""thrust"": 9.326}, {""time"": 0.101, ""thrust"": 10.281}, {""time"": 0.143, ""thrust"": 10.827}, {""time"": 0.213, ""thrust"": 10.99}, {""time"": 0.271, ""thrust"": 10.887}, {""time"": 0.359, ""thrust"": 10.685}, {""time"": 0.471, ""thrust"": 10.13}, {""time"": 0.506, ""thrust"": 10.342}, {""time"": 0.535, ""thrust"": 9.929}, {""time"": 0.81, ""thrust"": 8.697}, {""time"": 1.226, ""thrust"": 6.713}, {""time"": 1.589, ""thrust"": 5.138}, {""time"": 1.8, ""thrust"": 4.861}, {""time"": 2.151, ""thrust"": 4.581}, {""time"": 2.649, ""thrust"": 4.57}, {""time"": 2.696, ""thrust"": 3.887}, {""time"": 2.748, ""thrust"": 2.388}, {""time"": 2.807, ""thrust"": 0.889}, {""time"": 2.842, ""thrust"": 0.207}, {""time"": 2.87, ""thrust"": 0.0}]"
