commonName,delays,diameter,infoUrl,totImpulseNs,manufacturer,burnTimeS,propInfo,length,avgThrustN,dataFiles,impulseClass,sparky,caseInfo,propWeightG,certOrg,motorId,availability,maxThrustN,totalWeightG,designation,updatedOn,type,mfgID
B7,"4,6,8,10",13.0,http://nar.org/SandT/pdf/Apogee/B7.pdf,4.97,Apogee Components,0.74,,50.0,6.72,2,B,False,,2.8,National Association of Rocketry,5f4294d20002310000000012,OOP,14.76,,B7,2019-04-17,SU,Apogee
B4,"2,4",18.0,http://nar.org/SandT/pdf/Estes/B4.pdf,5.0,Estes Industries,1.03,black powder,70.0,4.17,3,B,False,,6.0,National Association of Rocketry,5f4294d2000231000000000e,regular,12.75,18.85,B4,2019-10-05,SU,Estes
B2,"0,4,P",18.0,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-B2-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0220&t=23&c=712&p=712,5.0,Raketenmodellbau Klima,2.5,black powder,70.0,2.0,1,B,False,,,Uncertified,5f7695bd9503a10004898855,regular,,,B2,2020-10-02,SU,Klima
B4,"0,4,P",18.0,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-B4-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0240&t=23&c=712&p=712,5.0,Raketenmodellbau Klima,1.2,black powder,70.0,4.0,2,B,False,,5.4,Uncertified,5f8b05a5d5fa3b000447e825,regular,8.0,16.299999999999997,B4,2020-10-17,SU,Klima
C5,3,18.0,https://nar.org/SandT/pdf/Estes/Estes_C5_2019.pdf,7.79,Estes Industries,1.99,black powder,70.0,3.91,4,C,False,,11.3,National Association of Rocketry,5f4294d20002310000000014,regular,20.41,24.8,C5,2022-07-27,SU,Estes
C6,"0,3,5",18.0,http://www.nar.org/SandT/pdf/Quest/C6_cn.pdf,8.76,Quest Aerospace,2.54,black powder,70.0,3.45,2,C,False,,12.0,National Association of Rocketry,5f4294d20002310000000016,regular,15.46,21.0,C6,2019-04-17,SU,Quest
C11,"0,3,5,7",24.0,http://nar.org/SandT/pdf/Estes/C11.pdf,8.8,Estes Industries,0.81,black powder,70.0,10.86,2,C,False,,12.0,National Association of Rocketry,5f4294d2000231000000001a,regular,21.73,35.23,C11,2019-10-05,SU,Estes
C6,"0,3,5,7",18.0,http://nar.org/SandT/pdf/Estes/C6.pdf,8.82,Estes Industries,1.86,black powder,70.0,4.74,3,C,False,,10.8,National Association of Rocketry,5f4294d20002310000000015,regular,14.09,24.1,C6,2019-10-05,SU,Estes
C6,"0,3,5",18.0,,8.83,Southern Cross Rocketry,2.89,black powder,70.0,3.06,1,C,False,,12.0,Austrialian Model Rocket Society Inc.,5f4294d20002310000000403,regular,12.31,25.0,SCR-C6,2022-07-13,SU,SCR
C4,"3,5,7",18.0,http://nar.org/SandT/pdf/Apogee/C4.pdf,8.92,Apogee Components,2.35,,50.0,3.8,2,C,False,,4.5,National Association of Rocketry,5f4294d20002310000000013,OOP,11.31,,C4,2019-04-17,SU,Apogee
