commonName,delays,diameter,infoUrl,totImpulseNs,manufacturer,burnTimeS,propInfo,length,avgThrustN,dataFiles,impulseClass,sparky,caseInfo,propWeightG,certOrg,motorId,availability,maxThrustN,totalWeightG,designation,updatedOn,type,mfgID
H87,"3,5,7,9,12",29.0,,167.9,Cesaroni Technology,1.94,Imax,187.0,86.7,2,H,False,Pro29-3G,92.7,Canadian Association of Rocketry,5f4294d200023100000002c7,regular,139.2,205.0,168H87-12A,2019-04-17,reload,Cesaroni
H303,,38.0,,172.0,Contrail Rockets,0.6,,508.0,283.0,2,H,False,48 20 F PVC (185CC),125.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000097,regular,752.0,589.0,H303-PVC,2019-04-17,hybrid,Contrail
H115,"6,8,10,12,14",29.0,,172.0,AeroTech,1.5,Dark Matter,203.0,115.0,2,H,True,,113.0,"Tripoli Rocketry Association, Inc.",5f4294d200023100000003fa,regular,126.0,205.0,HP-H115DM,2019-04-17,SU,AeroTech
H128,"4,6,8,10",29.0,,172.9,AeroTech,1.27,White Lightning,194.0,128.0,2,H,False,RMS-29/180,94.2,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000083,regular,168.7,206.0,H128W,2019-04-17,reload,AeroTech
H78,,29.0,,172.9,Sky Ripper Systems,2.75,,523.0,78.0,2,H,False,29X520MM,5.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000007b,OOP,150.4,284.0,H78,2021-06-13,hybrid,SkyR
H123,"3,5,7,9,12",29.0,,176.5,Cesaroni Technology,1.44,Skidmark,231.0,123.0,2,H,True,Pro29-4G,100.0,Canadian Association of Rocketry,5f4294d200023100000002a6,regular,149.8,228.0,176H123-12A,2019-04-17,reload,Cesaroni
H97,"4,6,8,10",29.0,,177.3,AeroTech,2.23,Blackjack,238.0,97.0,2,H,False,RMS-29/240,137.1,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000007c,regular,111.5,277.76,H97J,2019-04-17,reload,AeroTech
H73,"4,6,8,10",38.0,,185.6,AeroTech,2.55,Blackjack,152.0,73.0,2,H,False,RMS-38/240,142.7,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000007a,regular,97.1,309.12,H73J,2019-04-17,reload,AeroTech
H42,"1,3,5,7,10",29.0,,186.0,Cesaroni Technology,4.41,Mellow,231.0,42.2,1,H,False,Pro29-4G,105.5,Canadian Association of Rocketry,5f4294d20002310000000413,regular,83.5,242.0,186H42-10A,2019-04-17,reload,Cesaroni
H100,"5,8,10,13,17",38.0,https://www.lokiresearch.com/images/Documents/38mm%20Spitfire.pdf,200.0,Loki Research,2.0,Spitfire,177.0,100.0,2,H,True,38/240,120.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000250,regular,,335.0,H100-SF,2021-07-24,reload,Loki
H283,"7,9,11,13,15",38.0,,201.0,AeroTech,0.7,Super Thunder,155.0,283.0,2,H,False,DMS,,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000455,regular,327.0,,H283ST,2019-04-17,SU,AeroTech
H148,"4,6,8,10",38.0,,206.0,AeroTech,1.39189189189189,Redline,152.0,148.0,2,H,False,RMS-38/240,122.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000087,regular,,309.12,H148R,2019-04-17,reload,AeroTech
H211,,38.0,,206.0,Contrail Rockets,0.97,,516.0,211.0,2,H,False,38 20 M PVC (185CC),125.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000008d,regular,674.0,600.0,H211-PVC,2019-04-17,hybrid,Contrail
H237,"4,6,8,10,13",29.0,,206.2,Cesaroni Technology,0.88,Smoky Sam,276.0,237.2,2,H,False,Pro29-5G,147.6,Canadian Association of Rocketry,5f4294d200023100000002bc,regular,295.9,294.0,206H237-13A,2019-04-17,reload,Cesaroni
H151,"6,8,10,12,15",29.0,,207.2,Cesaroni Technology,1.38,Red Lightning,231.0,150.8,2,H,False,Pro29-4G,109.1,Canadian Association of Rocketry,5f4294d200023100000002de,regular,214.8,238.0,207H151-15A,2019-04-17,reload,Cesaroni
H70,,29.0,,207.5,R.A.T.T. Works,3.6,,457.0,70.0,1,H,False,29 h 136cc,145.2,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000077,regular,204.25,352.0,H70,2021-06-13,hybrid,RATT
H130,"4,6,8,10,12,14",38.0,,210.0,AeroTech,1.65,White Lightning,152.0,130.0,2,H,False,RMS-38/240,120.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000442,regular,260.0,237.0,H130W,2019-04-17,reload,AeroTech
H13,P,29.0,,211.19,AeroTech,15.22,Super Thunder,213.4,13.89,2,H,False,,116.4,"Tripoli Rocketry Association, Inc.",5f5e58171e865c0004c955f8,regular,43.51,203.4,H13ST,2020-09-13,SU,AeroTech
H70,"6,8,10,12,14",29.0,,215.0,AeroTech,2.0,White Lightning,229.0,70.0,2,H,False,SU 29x229,126.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000079,OOP,174.0,224.0,H70W,2019-04-17,SU,AeroTech
H210,"4,6,8,10",29.0,https://nar.org/SandT/pdf/Aerotech/H210.pdf,215.41,AeroTech,1.0,Redline,238.0,215.41,2,H,False,RMS-29/240,106.4,National Association of Rocketry,5f4294d2000231000000008c,regular,275.73,246.4,H210R,2022-07-20,reload,AeroTech
H118,"3,5,7,9,12",29.0,,216.2,Cesaroni Technology,1.83,Classic,231.0,118.4,2,H,False,Pro29-4G,102.8,Canadian Association of Rocketry,5f4294d2000231000000029a,regular,191.3,232.0,216H118-12A,2019-04-17,reload,Cesaroni
H105,,29.0,,216.3,Kosdon TRM,1.87,Dirty Harry,289.0,116.1,0,H,False,,143.5,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000034b,OOP,,,H105DH,2019-04-17,reload,Kosdon
H135,"3,5,7,9,12",29.0,,216.7,Cesaroni Technology,1.6,White,231.0,135.1,2,H,False,Pro29-4G,119.8,Canadian Association of Rocketry,5f4294d2000231000000039a,regular,171.8,251.2,217H135-12A,2019-04-17,reload,Cesaroni
H170,"5,7,9,11,14",29.0,,217.1,Cesaroni Technology,1.27,Blue Streak,231.0,171.3,2,H,False,Pro29-4G,102.3,Canadian Association of Rocketry,5f4294d20002310000000290,regular,243.8,232.0,217H170-14A,2019-04-17,reload,Cesaroni
H180,"4,6,8,10",29.0,,217.7,AeroTech,1.3,White Lightning,238.0,180.0,2,H,False,RMS-29/240,123.9,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000008b,regular,228.5,252.0,H180W,2019-04-17,reload,AeroTech
H182,"6,8,10,12,14",29.0,,218.0,AeroTech,1.2,Redline,203.0,182.0,2,H,False,,115.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000405,regular,192.0,207.0,HP-H182R,2019-04-17,SU,AeroTech
H220,"4,6,8,10,12,14",29.0,https://nar.org/SandT/pdf/Aerotech/H220.pdf,220.0,AeroTech,1.0,Blue Thunder,238.0,220.0,2,H,False,RMS-29/240,106.4,National Association of Rocketry,5f4294d2000231000000008e,regular,275.5,250.0,H220T,2022-07-20,reload,AeroTech
H160,"5,7,9,11,14",29.0,,220.5,Cesaroni Technology,1.4,Skidmark,276.0,159.0,1,H,True,Pro29-5G,125.0,Canadian Association of Rocketry,5f4294d200023100000002a7,regular,191.9,272.0,220H160-14A,2019-04-17,reload,Cesaroni
H669,P,38.0,,221.0,AeroTech,0.339,Warp 9,152.0,651.4,2,H,False,RMS-38/240,98.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000009b,regular,961.5,252.0,H669N,2019-04-17,reload,AeroTech
H246,,38.0,,222.0,Contrail Rockets,0.9,,508.0,238.0,2,H,False,38 20 M HP (185CC),110.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000092,regular,653.0,598.0,H246-HP,2019-04-17,hybrid,Contrail
H123,"4,6,8,10",38.0,,223.6,AeroTech,1.76,White Lightning,152.0,123.0,1,H,False,RMS-38/240,128.7,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000080,regular,174.2,275.0,H123W,2019-04-17,reload,AeroTech
H124,,38.0,,224.5,Sky Ripper Systems,1.7,,533.0,124.0,2,H,False,H 38/220,142.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000081,OOP,335.34,664.0,H124,2019-04-17,hybrid,SkyR
H121,,38.0,,225.0,Contrail Rockets,1.85,,516.0,121.0,2,H,False,38 20 S HP (185CC),110.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000007f,regular,294.0,612.0,H121-HP,2019-04-17,hybrid,Contrail
H135,"6,8,10,12,14",29.0,,225.84,AeroTech,1.95,White Lightning,216.0,115.86,2,H,False,,82.0,"Tripoli Rocketry Association, Inc.",5f4294d200023100000003f1,regular,159.88,212.0,HP-H135W,2019-04-17,SU,AeroTech
H225,,38.0,,226.0,Gorilla Rocket Motors,1.2,Black Lightning,249.0,225.0,1,H,True,38/390,173.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000273,OOP,240.35,466.0,H225BL,2019-04-17,reload,Gorilla
H100,"6,8,10",38.0,,226.8,AeroTech,2.32,White Lightning,153.1,97.7,2,H,False,DMS,121.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000440,regular,137.75,261.0,H100W_DMS,2019-04-17,SU,AeroTech
H155,,38.0,,228.68,Sky Ripper Systems,1.69,,533.0,155.0,2,H,False,H 38/220,142.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000089,OOP,416.83,664.0,H155,2019-04-17,hybrid,SkyR
H255,"5,7,9,11,14",29.0,,229.3,Cesaroni Technology,0.9,White Thunder,231.0,254.3,2,H,False,Pro29-4G,104.3,Canadian Association of Rocketry,5f4294d200023100000002c4,regular,363.0,232.0,229H255-14A,2019-04-17,reload,Cesaroni
H250,"4,6,8,10",29.0,,231.0,AeroTech,0.9,Mojave Green,238.0,250.0,2,H,False,RMS-29/240,116.3,"Tripoli Rocketry Association, Inc.",5f4294d200023100000001e3,regular,,256.0,H250G,2019-04-17,reload,AeroTech
H242,"4,6,8,10",38.0,,231.7,AeroTech,1.06,Blue Thunder,152.0,242.0,3,H,False,RMS-38/240,114.7,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000091,regular,276.6,264.0,H242T,2019-04-17,reload,AeroTech
H123,"5,7,9,11,14",38.0,,232.4,Cesaroni Technology,1.9,Skidmark,186.0,122.5,3,H,True,Pro38-2G,123.0,Canadian Association of Rocketry,5f4294d20002310000000239,regular,153.3,297.0,232H123-14A,2021-06-13,reload,Cesaroni
H169,"5,7,9,11,13",29.0,,232.95,AeroTech,1.38,Super White Lightning,220.7,168.8,2,H,False,,112.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000468,regular,231.41,202.2,H169WS-13,2019-12-12,SU,AeroTech
H219,"6,8,10,12,14",38.0,,233.0,AeroTech,1.05,Blue Thunder,155.0,222.0,2,H,False,,109.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000044e,regular,279.0,261.0,H219T,2020-10-16,SU,AeroTech
H53,"3,5,7,9,12",29.0,,234.2,Cesaroni Technology,4.44,Mellow,276.0,52.7,1,H,False,Pro29-5G,131.9,Canadian Association of Rocketry,5f4294d20002310000000414,regular,101.8,286.0,234H53-12A,2019-04-17,reload,Cesaroni
H90,"5,8,10,14",38.0,https://www.lokiresearch.com/images/Documents/38mm%20Red.pdf,234.37,Loki Research,2.56,Loki Red,117.0,89.28,2,H,False,38/240,120.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000023c,regular,157.59,335.0,H90-LR,2021-07-24,reload,Loki
H195,"6,8,10,12,14",29.0,,236.09,AeroTech,1.14,New Blue Thunder,203.0,206.68,2,H,False,,115.0,"Tripoli Rocketry Association, Inc.",5f4294d200023100000003f3,regular,247.16,197.0,HP-H195NT,2020-11-26,SU,AeroTech
H70,,38.0,,237.0,Propulsion Polymers,3.16,,464.0,72.0,1,H,False,,318.3,Canadian Association of Rocketry,5f4294d20002310000000078,OOP,171.0,626.6,240NS-H70,2021-06-13,hybrid,PP
H144,"5,8,10,13,17",38.0,https://www.lokiresearch.com/images/Documents/38mm%20White.pdf,239.25,Loki Research,1.53,Loki White,190.0,155.0,2,H,False,38/240,126.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000086,regular,254.0,336.0,H144-LW,2021-07-24,reload,Loki
H125,"8,10,12,14,18",38.0,https://www.lokiresearch.com/images/Documents/38mm%20cocktail.pdf,240.0,Loki Research,1.94,Cocktail,177.8,124.0,1,H,False,38/240,122.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000447,regular,206.0,342.0,H125-CT,2021-07-24,reload,Loki
H14,P,29.0,,240.12,AeroTech,18.26,Super Thunder,240.0,13.21,1,H,False,,134.0,"Tripoli Rocketry Association, Inc.",6457b5ce8cd35f00024615fc,regular,42.13,230.0,H14ST,2023-05-07,SU,AeroTech
H225,M,29.0,,241.2,Kosdon by AeroTech,1.08,Redline,291.0,221.8,1,H,False,Kosdon 29-250,133.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000255,OOP,281.0,316.0,H225R,2019-04-17,reload,KBA
H130,M,29.0,,246.3,Kosdon by AeroTech,1.85,White Lightning,291.0,133.0,1,H,False,Kosdon 29-250,140.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000254,OOP,223.2,709.0,H130W,2019-04-17,reload,KBA
H141,,38.0,,247.0,Contrail Rockets,1.7,,508.0,141.0,2,H,False,38 20 S PVC (185CC),125.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000084,regular,297.0,612.0,H141-PVC,2019-04-17,hybrid,Contrail
H143,"4,6,8,10,13",38.0,,247.0,Cesaroni Technology,1.73,Smoky Sam,185.0,142.4,2,H,False,Pro38-2G,165.4,Canadian Association of Rocketry,5f4294d20002310000000085,regular,167.0,347.0,247H143-13A,2021-06-13,reload,Cesaroni
H200,13,24.0,,247.4,Kosdon TRM,1.2,Slow,383.0,207.4,0,H,False,,117.8,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000346,OOP,,,H200S,2019-04-17,reload,Kosdon
H48,"8,P",38.0,,249.0,Ellis Mountain,4.4,,172.0,48.0,2,H,False,SU 38x172,145.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000074,OOP,101.0,292.0,H48,2019-04-17,SU,Ellis
H295,"4,6,8,10,13",29.0,,252.7,Cesaroni Technology,0.85,Smoky Sam,320.0,296.0,2,H,False,Pro29-6G,177.1,Canadian Association of Rocketry,5f4294d200023100000002bd,regular,359.5,342.0,253H295-13A,2019-04-17,reload,Cesaroni
H400,"4,6,8,10,13",38.0,,255.0,Cesaroni Technology,0.64,Vmax,186.0,396.0,1,H,False,Pro38-2G,122.4,Canadian Association of Rocketry,5f4294d2000231000000025b,regular,448.0,283.6,255H400-13A,2019-04-17,reload,Cesaroni
H153,,38.0,,258.0,Cesaroni Technology,1.75,,185.0,153.0,2,H,False,Pro38-2G,143.9,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000088,OOP,188.3,303.9,H153,2019-04-17,reload,Cesaroni
H180,"5,7,9,11,14",29.0,,258.0,Cesaroni Technology,1.44,Skidmark,320.0,179.6,2,H,True,Pro29-6G,150.0,Canadian Association of Rocketry,5f4294d200023100000002a8,regular,266.1,314.0,258H180-14A,2019-04-17,reload,Cesaroni
H365,15,24.0,,259.1,Kosdon TRM,0.7,Fast,383.0,381.7,0,H,False,,122.3,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000347,OOP,,,H365F,2019-04-17,reload,Kosdon
H160,"7,9,12,15",38.0,https://www.lokiresearch.com/images/Documents/38mm%20Blue.pdf,260.12,Loki Research,1.53,Loki Blue,117.0,169.18,2,H,False,38/240,120.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000023f,regular,377.17,335.0,H160-LB,2021-07-24,reload,Loki
H194,"7,9,11,14",29.0,,260.3,Cesaroni Technology,1.34,Red Lightning,276.0,194.3,2,H,False,Pro29-5G,136.4,Canadian Association of Rocketry,5f4294d200023100000002df,regular,292.0,284.0,260H194-14A,2019-04-17,reload,Cesaroni
H120,"5,7,9,11,14",38.0,,260.7,Cesaroni Technology,2.15,Red Lightning,186.0,121.4,2,H,False,Pro38-2G,136.0,Canadian Association of Rocketry,5f4294d20002310000000218,regular,149.4,295.0,261H120-14A,2019-04-17,reload,Cesaroni
H200,"5,7,9,11,14",29.0,,260.8,Cesaroni Technology,1.29,Blue Streak,276.0,201.7,2,H,False,Pro29-5G,127.90000000000002,Canadian Association of Rocketry,5f4294d20002310000000291,regular,303.2,274.0,261H200-14A,2019-04-17,reload,Cesaroni
H112,"4,6,8,10",38.0,,261.1,AeroTech,2.92,Blackjack,191.0,112.0,2,H,False,RMS-38/360,191.2,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000007e,regular,121.7,379.456,H112J,2019-04-17,reload,AeroTech
H248,,38.0,,261.5,Contrail Rockets,1.06,,719.0,245.0,1,H,False,,184.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000020d,regular,746.0,793.78,H248-PVC,2019-04-17,hybrid,Contrail
H50,"6,10",29.0,,264.0,Ellis Mountain,5.0,,279.0,50.0,2,H,False,SU 29x279,142.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000075,OOP,109.0,,H50,2019-04-17,SU,Ellis
H100,,38.0,,266.0,West Coast Hybrids,2.56,,403.0,96.9,1,H,False,,145.6,Canadian Association of Rocketry,5f4294d2000231000000007d,OOP,174.9,450.0,246H100-P,2019-04-17,hybrid,WCH
H255,9,29.0,,266.0,Kosdon TRM,1.03,Fast,292.0,260.5,0,H,False,,125.3,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000034c,OOP,,,H255F,2019-04-17,reload,Kosdon
H140,"2,4,6,8,11",29.0,,268.0,Cesaroni Technology,1.89,Classic,276.0,141.8,2,H,False,Pro29-5G,128.5,Canadian Association of Rocketry,5f4294d2000231000000029b,regular,247.8,277.0,268H140-11A,2019-04-17,reload,Cesaroni
H110,"5,7,9,11,14",38.0,,269.1,Cesaroni Technology,2.47,White,186.0,109.3,2,H,False,Pro38-2G,152.6,Canadian Association of Rocketry,5f4294d2000231000000039f,regular,127.5,325.3,269H110-14A,2019-04-17,reload,Cesaroni
H225,"5,7,9,11,14",38.0,,273.2,Cesaroni Technology,1.21,White Thunder,186.0,226.33,1,H,False,Pro38-2G,123.6,Canadian Association of Rocketry,5f4294d20002310000000219,regular,254.1,193.0,273H225-14A,2019-04-17,reload,Cesaroni
H152,"6,8,10,12,15",38.0,,275.93,Cesaroni Technology,1.9139,Blue Streak,185.0,152.41,2,H,False,Pro38-2G,138.0,"Tripoli Rocketry Association, Inc.",5f4294d200023100000002eb,regular,212.41,298.0,276H152-15A,2019-04-17,reload,Cesaroni
H399,"3,5,7,9,12",29.0,,282.2,Cesaroni Technology,0.71,White Thunder,320.0,399.3,2,H,False,Pro29-6G,132.6,Canadian Association of Rocketry,5f4294d200023100000002c5,regular,545.8,294.0,282H399-12A,2019-04-17,reload,Cesaroni
H178,"6,8,10,12,14",38.0,,283.0,AeroTech,1.74,Dark Matter,191.0,162.0,2,H,True,RMS-38/360,177.0,"Tripoli Rocketry Association, Inc.",5f4294d200023100000003c5,regular,202.0,324.0,H178DM,2019-04-17,reload,AeroTech
H125,"3,5,7,9,12",38.0,,285.6,Cesaroni Technology,2.15,Classic,186.0,125.1,2,H,False,Pro38-2G,125.0,Canadian Association of Rocketry,5f4294d20002310000000236,regular,152.9,293.0,266H125-12A,2021-06-13,reload,Cesaroni
H100,"6,8,10,12,15",38.0,,286.4,Cesaroni Technology,2.82,Imax,186.0,101.7,2,H,False,Pro38-2G,154.4,Canadian Association of Rocketry,5f4294d200023100000002cb,regular,117.9,327.0,286H100-15A,2019-04-17,reload,Cesaroni
H340,"5,7,9,11,14",29.0,,287.3,Cesaroni Technology,0.84,Smoky Sam,365.0,340.6,2,H,False,Pro29-6GXL,206.7,Canadian Association of Rocketry,5f4294d200023100000002c9,regular,447.5,391.0,287H340-14A,2019-04-17,reload,Cesaroni
H45,"6,7,8,9,10,11,13,15",38.0,,289.0,AeroTech,6.0,White Lightning,194.0,45.0,2,H,False,SU 38x194,197.4,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000073,OOP,102.0,294.784,H45W,2021-06-13,SU,AeroTech
H277,,38.0,,292.0,Contrail Rockets,1.15,,719.0,252.0,2,H,False,38 28 F HP (370CC),110.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000095,regular,793.0,710.0,H277-HP,2019-04-17,hybrid,Contrail
H275,,29.0,,293.5,Ellis Mountain,1.1,,275.0,275.0,2,H,False,SU 29x275,163.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000094,OOP,641.6,255.0,H275,2019-04-17,SU,Ellis
H470,,24.0,,293.7,Kosdon TRM,0.57,Fast,489.0,511.2,0,H,False,,151.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000348,OOP,,,H470F,2019-04-17,reload,Kosdon
H159,"6,8,10,12,15",29.0,,298.2,Cesaroni Technology,1.88,Green3,320.0,158.9,2,H,False,Pro29-6G,176.6,Canadian Association of Rocketry,5f4294d20002310000000371,regular,199.7,342.8,298H159-15A,2019-04-17,reload,Cesaroni
H125,"6,8,10,12,14",29.0,,299.4,AeroTech,2.6,White Lightning,330.0,125.0,2,H,False,SU 29x330,187.9,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000082,OOP,307.0,322.56,H125W,2019-04-17,SU,AeroTech
H340,,38.0,,304.5,Contrail Rockets,0.95,,719.0,321.0,2,H,False,,,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000098,regular,966.0,816.0,H340-SP,2019-04-17,hybrid,Contrail
H226,"5,7,9,11,14",29.0,,305.0,Cesaroni Technology,1.35,Skidmark,365.0,225.6,2,H,True,Pro29-6GXL,175.0,Canadian Association of Rocketry,5f4294d200023100000002c8,regular,362.3,360.0,305H226-14A,2019-04-17,reload,Cesaroni
H233,"7,9,11,14",29.0,,311.5,Cesaroni Technology,1.33,Red Lightning,320.0,233.5,2,H,False,Pro29-6G,163.7,Canadian Association of Rocketry,5f4294d200023100000002d2,regular,354.7,327.6,311H233-14A,2019-04-17,reload,Cesaroni
H160,"3,5,7,9,12",29.0,,311.7,Cesaroni Technology,1.93,Classic,320.0,161.5,2,H,False,Pro29-6G,154.20000000000002,Canadian Association of Rocketry,5f4294d2000231000000029c,regular,334.8,319.0,312H160-12A,2022-07-21,reload,Cesaroni
H550,"6,8,10,12,14",38.0,,312.0,AeroTech,0.56,Super Thunder,206.0,552.0,2,H,False,38 DMS,176.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000432,regular,640.0,316.0,HP-H550ST,2019-04-17,SU,AeroTech
H186,,38.0,,312.12,Gorilla Rocket Motors,1.69,Red Twister,249.0,186.0,1,H,False,38/390,178.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000275,OOP,220.33,472.0,H186RT,2019-04-17,reload,Gorilla
H255,"5,7,9,11,14",29.0,,315.4,Cesaroni Technology,1.24,Blue Streak,320.0,254.2,2,H,False,Pro29-6G,153.4,Canadian Association of Rocketry,5f4294d20002310000000292,regular,411.1,318.0,315H255-14A,2019-04-17,reload,Cesaroni
H500,,38.0,,317.0,Loki Research,0.634,Loki White,295.0,500.0,3,H,False,,160.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000099,OOP,,460.0,H500-LW,2019-04-17,reload,Loki
H565,"5,7,9,11,14",38.0,,319.8,Cesaroni Technology,0.566017699115044,Vmax,244.0,565.0,2,H,False,Pro38-3G,165.0,Canadian Association of Rocketry,5f4294d2000231000000009a,regular,,,320H565-14A,2019-04-17,reload,Cesaroni
H999,P,38.0,,319.9,AeroTech,0.32022022022022,Warp 9,203.0,999.0,2,H,False,RMS-38/360,147.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000009c,regular,1710.0,331.0,H999N,2019-04-17,reload,AeroTech
H170,"6,8,10,12,14",38.0,,319.9,AeroTech,1.91,Metalstorm,191.0,166.8,1,H,True,RMS-38/360,182.5,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000387,regular,208.0,330.0,H170M,2019-04-17,reload,AeroTech
H550,"6,8,10,12,14",38.0,,320.0,AeroTech,0.57,Super Thunder,213.0,550.0,1,H,False,RMS-38/360,145.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000456,regular,667.0,323.0,H550ST,2019-04-17,reload,AeroTech
H268,"4,6,8,10",29.0,https://nar.org/SandT/pdf/Aerotech/H268.pdf,320.0,AeroTech,1.19,Redline,333.0,268.0,2,H,False,RMS-29/360,166.0,National Association of Rocketry,5f4294d20002310000000093,regular,,358.4,H268R,2022-07-20,reload,AeroTech
H45,P,38.0,,320.0,AeroTech,6.0,White Lightning,203.0,45.0,2,H,False,,180.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000407,regular,87.0,365.0,HP-H45W,2022-03-11,SU,AeroTech
I235,,38.0,,324.02,Gorilla Rocket Motors,1.4,White Cloud,249.0,235.0,0,I,False,38/390,173.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000421,OOP,291.27,466.0,I235WC,2019-04-17,reload,Gorilla
I200,"4,6,8,10",29.0,,324.5,AeroTech,1.65,White Lightning,333.0,200.0,2,I,False,RMS-29/360,187.3,"Tripoli Rocketry Association, Inc.",5f4294d200023100000000b5,regular,463.3,357.504,I200W,2019-04-17,reload,AeroTech
I180,"4,6,8,10,12,14",38.0,,326.0,AeroTech,1.8,White Lightning,191.0,180.0,2,I,False,RMS-38/360,180.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000443,regular,362.0,385.0,I180W,2020-11-25,reload,AeroTech
I385,12,29.0,,326.3,Kosdon TRM,0.77,Fast,384.0,438.5,0,I,False,,154.0,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000034d,OOP,,,I385F,2019-04-17,reload,Kosdon
I223,,38.0,,327.93,Gorilla Rocket Motors,1.4,Green Tornado,249.0,235.0,1,I,False,38/390,181.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000274,OOP,240.35,466.0,I223GT,2019-04-17,reload,Gorilla
I161,"6,8,10,12,14",38.0,,328.7,AeroTech,1.82,White Lightning,191.0,161.0,2,I,False,RMS-38/360,193.2,"Tripoli Rocketry Association, Inc.",5f4294d200023100000000b1,regular,266.6,366.0,I161W,2019-04-17,reload,AeroTech
I218,"4,6,8,10",38.0,https://nar.org/SandT/pdf/Aerotech/I218.pdf,330.0,AeroTech,1.51,Redline,203.0,218.0,2,I,False,RMS-38/360,172.7,National Association of Rocketry,5f4294d200023100000000bb,regular,,371.8,I218R,2022-07-23,reload,AeroTech
I175,"5,7,9,11,13",38.0,,333.04,AeroTech,1.886,Super White Lightning,214.0,176.45,2,I,False,,,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000046f,regular,260.41,348.0,I175WS,2020-04-30,SU,AeroTech
I500,,38.0,,336.0,Contrail Rockets,0.7,,719.0,479.0,2,I,False,38 28 XF HP (275CC),166.0,"Tripoli Rocketry Association, Inc.",5f4294d200023100000000dc,regular,1069.0,800.0,I500-HP,2019-04-17,hybrid,Contrail
I140,"6,8,10,12,14",38.0,,336.0,AeroTech,2.4,White Lightning,202.7,140.0,2,I,False,,183.0,"Tripoli Rocketry Association, Inc.",5f4294d200023100000003f5,regular,181.0,356.0,HP-I140W,2022-01-10,SU,AeroTech
I180,"5,7,9,11,14",38.0,,338.42,Cesaroni Technology,1.873,Skidmark,243.0,180.9,2,I,True,Pro38-3G,200.0,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000284,regular,212.96,394.0,338I180-14A,2019-04-17,reload,Cesaroni
