caseInfo,length,totalWeightG,totImpulseNs,availability,type,designation,propWeightG,infoUrl,delays,updatedOn,maxThrustN,manufacturerAbbrev,certOrg,manufacturer,motorId,burnTimeS,propInfo,commonName,avgThrustN,impulseClass,diameter,sparky,dataFiles
,50,,4.97,OOP,SU,B7,2.8,http://nar.org/SandT/pdf/Apogee/B7.pdf,"4,6,8,10",2019-04-17,14.76,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000012,0.74,,B7,6.72,B,13,False,2
,70,18.85,5,regular,SU,B4,6,http://nar.org/SandT/pdf/Estes/B4.pdf,"2,4",2019-10-05,12.75,Estes,National Association of Rocketry,Estes Industries,5f4294d2000231000000000e,1.03,black powder,B4,4.17,B,18,False,3
,70,,5,regular,SU,B2,,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-B2-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0220&t=23&c=712&p=712,"0,4,P",2020-10-02,,Klima,Uncertified,Raketenmodellbau Klima,5f7695bd9503a10004898855,2.5,black powder,B2,2,B,18,False,1
,70,16.299999999999997,5,regular,SU,B4,5.4,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-B4-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0240&t=23&c=712&p=712,"0,4,P",2020-10-17,8,Klima,Uncertified,Raketenmodellbau Klima,5f8b05a5d5fa3b000447e825,1.2,black powder,B4,4,B,18,False,2
,70,24.8,7.79,regular,SU,C5,11.299999999999999,https://nar.org/SandT/pdf/Estes/Estes_C5_2019.pdf,3,2022-07-27,20.41,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000014,1.99,black powder,C5,3.91,C,18,False,4
,70,21,8.76,regular,SU,C6,12,http://www.nar.org/SandT/pdf/Quest/C6_cn.pdf,"0,3,5",2019-04-17,15.46,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000016,2.54,black powder,C6,3.45,C,18,False,2
,70,35.23,8.8,regular,SU,C11,12,http://nar.org/SandT/pdf/Estes/C11.pdf,"0,3,5,7",2019-10-05,21.73,Estes,National Association of Rocketry,Estes Industries,5f4294d2000231000000001a,0.81,black powder,C11,10.86,C,24,False,2
,70,24.1,8.82,regular,SU,C6,10.8,http://nar.org/SandT/pdf/Estes/C6.pdf,"0,3,5,7",2019-10-05,14.09,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000015,1.86,black powder,C6,4.74,C,18,False,3
,70,25,8.83,OOP,SU,SCR-C6,12,,"0,3,5",2024-01-22,12.31,SCR,Austrialian Model Rocket Society Inc.,Southern Cross Rocketry,5f4294d20002310000000403,2.89,black powder,C6,3.06,C,18,False,1
,50,,8.92,OOP,SU,C4,4.5,http://nar.org/SandT/pdf/Apogee/C4.pdf,"3,5,7",2019-04-17,11.31,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000013,2.35,,C4,3.8,C,18,False,2
RMS-18/20,72,23.900000000000002,8.96,regular,reload,C3.4T,5.2,https://nar.org/SandT/pdf/Aerotech/AT_C3.4_2015.pdf,P,2022-07-20,9.08,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000040c,2.86,Blue Thunder,C3,3.14,C,18,False,2
,50,,9.56,OOP,SU,C10,4.9,http://nar.org/SandT/pdf/Apogee/C10.pdf,"4,7,10",2019-04-17,25.72,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000019,0.96,,C10,9.96,C,18,False,2
,78.5,23.7,9.8,regular,SU,C12,10.4,,"4,6,8",2020-11-25,17.5,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,5f4294d2000231000000045e,0.84,Black Max,C12,11.7,C,18,False,2
,70,22.4,9.8,regular,SU,C2,11.299999999999999,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-C2-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0320&t=23&c=712&p=712,"0,P",2020-10-17,5,Klima,Uncertified,Raketenmodellbau Klima,5f7696fb9503a10004898857,5,black powder,C2,2,C,18,False,2
,81,20.9,9.83,regular,SU,C18W,5.6,,"4,6,8",2020-10-07,23.6,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,5f7d2f71606b5d00041d9aba,0.52,Fast White Lightning,C18,19.1,C,18,False,2
,83,,9.98,OOP,SU,C6,7,http://nar.org/SandT/pdf/Apogee/C6.pdf,"4,7,10",2019-04-17,21.1,Apogee,National Association of Rocketry,Apogee Components,5f4294d20002310000000018,1.32,,C6,7.56,C,13,False,2
,70,20.5,10,regular,SU,C6,9.6,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-C6-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0360&t=23&c=712&p=712,"0,3,5,7,P",2020-10-17,15,Klima,Uncertified,Raketenmodellbau Klima,5f76974c9503a10004898858,1.6,black powder,C6,6,C,18,False,2
,78.5,25.7,12.4,regular,SU,D16,12.5,,"4,6,8",2020-11-25,22.3,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,5f4294d2000231000000045f,0.79,Black Max,D16,15.7,D,18,False,2
,81,24.1,13.83,regular,SU,D20W,8.7,,"4,6,8",2020-10-07,24.34,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,5f7d30aa606b5d00041d9abc,0.76,Fast White Lightning,D20,18.25,D,18,False,2
,70,44,16.84,regular,SU,D12,21.1,http://nar.org/SandT/pdf/Estes/D12.pdf,"0,3,5,7",2022-07-27,29.73,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000020,1.65,black powder,D12,10.21,D,24,False,2
RMS-18/20,72,29.3,17.21,regular,reload,D2.3T,10.7,http://www.nar.org/SandT/pdf/Aerotech/D2.3.pdf,P,2022-03-20,10.14,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000040d,8.14,Blue Thunder,D2,2.12,D,18,False,2
