caseInfo,length,totalWeightG,totImpulseNs,availability,type,designation,propWeightG,infoUrl,delays,updatedOn,maxThrustN,manufacturerAbbrev,certOrg,manufacturer,motorId,burnTimeS,propInfo,commonName,avgThrustN,impulseClass,diameter,sparky,dataFiles
,206,,136.6,OOP,reload,G65DH,93.6,,11,2019-04-17,,Kosdon,"Tripoli Rocketry Association, Inc.",Kosdon TRM,5f4294d2000231000000034a,1.9,Dirty Harry,G65,71.6,G,29,False,1
,128,128.3,136.6,OOP,SU,G80,62.5,http://www.nar.org/SandT/pdf/Estes/G80T.pdf,"7,10",2022-07-27,108.5,Estes,National Association of Rocketry,Estes Industries,5f4294d200023100000003e8,1.7,,G80,77.6,G,29,False,0
RMS-38/120,106,201,136.7,regular,reload,G69N,62.199999999999996,https://nar.org/SandT/pdf/Aerotech/G69.pdf,P,2022-07-20,87.3,AeroTech,National Association of Rocketry,AeroTech,5f4294d200023100000001d5,1.88,Warp 9,G69,72.3,G,38,False,2
Pro38-1G,127,212.5,136.8,regular,reload,137G58-13A,76.3,,"4,6,8,10,13",2019-04-17,97.7,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000039e,2.36,White,G58,57.9,G,38,False,2
Pro24-6G,228,166,137.3,regular,reload,137G127-14A,70.5,,"5,7,9,11,14",2019-04-17,182.1,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000003ba,1.08,Red Lightning,G127,127.4,G,24,False,2
Pro29-3G,187,187,138.3,regular,reload,138G106-14A,75,,"5,7,9,11,14",2019-04-17,128.7,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002a5,1.31,Skidmark,G106,106,G,29,True,2
,152.4,153.7,139,regular,SU,G11,82,,P,2019-04-17,28.9,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000463,13.6,Super Thunder,G11,10.2,G,29,False,2
Pro24-6G,228,169.8,139.1,regular,reload,139G107-12A,75.7,,"3,5,7,9,12",2019-04-17,230.7,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000391,1.3,White Thunder,G107,106.9,G,24,False,2
Pro24-6G,228,161.9,139.7,regular,reload,140G145-15A,66.7,,"6,8,10,12,15",2019-04-17,346.9,Cesaroni,"Tripoli Rocketry Association, Inc.",Cesaroni Technology,5f4294d200023100000003ea,0.96,Pink,G145,145.2,G,24,False,2
Pro38-1G,127,195,140.6,regular,reload,141G115-13A,61.8,,"4,6,8,10,13",2019-04-17,134.4,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000217,1.24,White Thunder,G115,113.5,G,38,False,1
Pro38-1G,126,197,140.91,regular,reload,141G78-15A,69,,"6,8,10,12,15",2019-04-17,137.31,Cesaroni,"Tripoli Rocketry Association, Inc.",Cesaroni Technology,5f4294d200023100000002ec,1.8009,Blue Streak,G78,78.406,G,38,False,1
38 16 S HP (140CC),406,511,142,regular,hybrid,G123-HP,83,,,2019-04-17,413,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d2000231000000006e,1.15,,G123,123,G,38,False,2
Pro24-6G,228,172.5,142.3,regular,reload,142G117-11A,79.10000000000001,,"4,6,8,11",2022-08-24,181.2,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000393,1.22,White,G117,116.8,G,24,False,2
Pro24-6G,228,159.9,142.5,regular,reload,143G150-13A,65.9,,"4,6,8,10,13",2019-04-17,247.4,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000390,0.97,Blue Streak,G150,146.7,G,24,False,2
Kosdon 29-150,206,231,142.7,OOP,reload,G82W,90,,M,2019-04-17,103.7,KBA,"Tripoli Rocketry Association, Inc.",Kosdon by AeroTech,5f4294d20002310000000252,1.78,White Lightning,G82,79.9,G,29,False,1
Kosdon 29-150,206,226,143,OOP,reload,G135R,80,,M,2019-04-17,158.8,KBA,"Tripoli Rocketry Association, Inc.",Kosdon by AeroTech,5f4294d20002310000000253,1.03,Redline,G135,137,G,29,False,1
Pro29-3G,187,197,143.1,regular,reload,143G33-9A,79.1,,"2,4,6,9",2019-04-17,66.1,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000412,4.38,Mellow,G33,32.7,G,29,False,2
,156,150.29999999999998,143.97,regular,SU,G12ST,82,,P,2021-01-30,30.88,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000464,12.7,Super Thunder,G12,11.31,G,29,False,4
Pro24-6G,228,174,144.3,regular,reload,144G65-8A,80,,"3,5,8",2019-04-17,159.7,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000395,2.23,White Thunder,G65,64.7,G,24,False,2
,406,,145,OOP,hybrid,G125,,,,2019-04-17,,SkyR,"Tripoli Rocketry Association, Inc.",Sky Ripper Systems,5f4294d2000231000000006f,1.16,,G125,125,G,38,False,2
38 16 S PVC (140CC),406,511,146,regular,hybrid,G100-PVC,93,,,2019-04-17,230,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d2000231000000006b,1.43,,G100,101,G,38,False,2
Pro38-1G,127,218,150,regular,reload,150G50-15A,77.7,,"6,8,10,12,15",2019-04-17,78.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002ca,2.87,Imax,G50,52.5,G,38,False,2
,308,465.81,150.63,OOP,hybrid,150G55-P,,,,2019-04-17,256.43,WCH,Canadian Association of Rocketry,West Coast Hybrids,5f4294d20002310000000201,2.79,,G55,54.78,G,38,False,1
RMS-29/40-120,124,148,157.1,regular,reload,HP-G138T,70,https://nar.org/SandT/pdf/Aerotech/G138T.pdf,"6,8,10,12,14",2022-07-20,190.1,AeroTech,National Association of Rocketry,AeroTech,5f4294d200023100000003b1,1.14,Blue Thunder,G138,138,G,29,False,1
Pro29-3G,187,188,159.1,regular,reload,159G118-15A,76.7,,"6,8,10,12,15",2019-04-17,157.3,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000297,1.35,Blue Streak,G118,117.8,G,29,False,2
Pro29-3G,187,192.8,159.1,regular,reload,159G54-12A,86.5,,"3,5,7,9,12",2019-04-17,119.2,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000370,2.97,Red Lightning,G54,53.6,G,29,False,2
Pro29-3G,187,194.5,159.6,regular,reload,159G125-14A,81.9,,"5,7,9,11,14",2019-04-17,171.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002d1,1.27,Red Lightning,G125,125.3,G,29,False,2
,203,,160.8,OOP,reload,H155F,80,,7,2019-04-17,,Kosdon,"Tripoli Rocketry Association, Inc.",Kosdon TRM,5f4294d20002310000000349,0.97,Fast,H155,171.9,H,29,False,1
38 20 F HP (185CC),508,612,161,regular,hybrid,H300-HP,110,,,2019-04-17,710,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d20002310000000096,0.62,,H300,259,H,38,False,2
38 16 M HP (140CC),407,520,161,regular,hybrid,H222-HP,22,,,2019-04-17,619,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d2000231000000008f,0.7,,H222,225,H,38,False,2
SU 29x191,191,188.16,162.3,OOP,SU,H55W,99.7,,"6,8,10,12,14",2019-04-17,113.3,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000076,2.45,White Lightning,H55,55,H,29,False,2
Pro29-3G,187,190,163.3,regular,reload,163H133-14A,76.7,,"5,7,9,11,14",2019-04-17,191.1,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000028f,1.23,Blue Streak,H133,133.1,H,29,False,2
Pro29-3G,187,163,164.2,regular,reload,164H90-12A,77.1,,"3,5,7,9,12",2019-04-17,154.1,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000299,1.82,Classic,H90,90.3,H,29,False,2
RMS-29/180,194,201.6,165,regular,reload,H165R,90,,"4,6,8,10",2019-04-17,,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000008a,1,Redline,H165,165,H,29,False,2
RMS-29/180,194,196,165.5,regular,reload,H238T,83.4,,"4,6,8,10",2019-04-17,263.4,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000090,0.71,Blue Thunder,H238,238,H,29,False,2
Pro29-4G,231,247,166,regular,reload,166H175-14A,118.1,,"5,7,9,11,14",2019-04-17,221.6,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002bb,0.95,Smoky Sam,H175,175.1,H,29,False,2
Pro29-3G,187,187,166.3,regular,reload,166H163-14A,78.2,,"5,7,9,11,14",2019-04-17,216.9,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002c3,1.02,White Thunder,H163,162.7,H,29,False,2
Pro29-3G,187,182.5,167.7,regular,reload,168H410-14A,75.9,,"5,7,9,11,14",2019-04-17,522.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000037a,0.41,Vmax,H410,409,H,29,False,2
Pro29-3G,187,209,167.7,regular,reload,168H54-10A,96.6,,"3,5,7,10",2019-04-17,105,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000398,3.12,White,H54,53.8,H,29,False,2
Pro29-3G,187,205,167.9,regular,reload,168H87-12A,92.7,,"3,5,7,9,12",2019-04-17,139.2,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002c7,1.94,Imax,H87,86.7,H,29,False,2
48 20 F PVC (185CC),508,589,172,regular,hybrid,H303-PVC,125,,,2019-04-17,752,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d20002310000000097,0.6,,H303,283,H,38,False,2
,203,205,172,regular,SU,HP-H115DM,113,,"6,8,10,12,14",2019-04-17,126,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d200023100000003fa,1.5,Dark Matter,H115,115,H,29,True,2
RMS-29/180,194,206,172.9,regular,reload,H128W,94.2,,"4,6,8,10",2019-04-17,168.7,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000083,1.27,White Lightning,H128,128,H,29,False,2
29X520MM,523,284,172.9,OOP,hybrid,H78,5,,,2021-06-13,150.4,SkyR,"Tripoli Rocketry Association, Inc.",Sky Ripper Systems,5f4294d2000231000000007b,2.75,,H78,78,H,29,False,2
Pro29-4G,231,228,176.5,regular,reload,176H123-12A,100,,"3,5,7,9,12",2019-04-17,149.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002a6,1.44,Skidmark,H123,123,H,29,True,2
RMS-29/240,238,277.76,177.3,regular,reload,H97J,137.1,,"4,6,8,10",2019-04-17,111.5,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000007c,2.23,Blackjack,H97,97,H,29,False,2
RMS-38/240,152,309.12,185.6,regular,reload,H73J,142.7,,"4,6,8,10",2019-04-17,97.1,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000007a,2.55,Blackjack,H73,73,H,38,False,2
Pro29-4G,231,242,186,regular,reload,186H42-10A,105.5,,"1,3,5,7,10",2019-04-17,83.5,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000413,4.41,Mellow,H42,42.2,H,29,False,1
38/240,177,335,200,regular,reload,H100-SF,120,https://www.lokiresearch.com/images/Documents/38mm%20Spitfire.pdf,"5,8,10,13,17",2021-07-24,,Loki,"Tripoli Rocketry Association, Inc.",Loki Research,5f4294d20002310000000250,2,Spitfire,H100,100,H,38,True,2
DMS,155,,201,regular,SU,H283ST,,,"7,9,11,13,15",2019-04-17,327,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000455,0.7,Super Thunder,H283,283,H,38,False,2
RMS-38/240,152,309.12,206,regular,reload,H148R,122,,"4,6,8,10",2019-04-17,,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000087,1.39189189189189,Redline,H148,148,H,38,False,2
38 20 M PVC (185CC),516,600,206,regular,hybrid,H211-PVC,125,,,2019-04-17,674,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d2000231000000008d,0.97,,H211,211,H,38,False,2
Pro29-5G,276,294,206.2,regular,reload,206H237-13A,147.6,,"4,6,8,10,13",2019-04-17,295.9,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002bc,0.88,Smoky Sam,H237,237.2,H,29,False,2
Pro29-4G,231,238,207.2,regular,reload,207H151-15A,109.1,,"6,8,10,12,15",2019-04-17,214.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002de,1.38,Red Lightning,H151,150.8,H,29,False,2
29 h 136cc,457,352,207.5,regular,hybrid,H70,145.2,,,2021-06-13,204.25,RATT,"Tripoli Rocketry Association, Inc.",R.A.T.T. Works,5f4294d20002310000000077,3.6,,H70,70,H,29,False,1
RMS-38/240,152,237,210,regular,reload,H130W,120,,"4,6,8,10,12,14",2019-04-17,260,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000442,1.65,White Lightning,H130,130,H,38,False,2
,213.4,203.4,211.19,regular,SU,H13ST,116.4,,P,2020-09-13,43.51,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f5e58171e865c0004c955f8,15.22,Super Thunder,H13,13.89,H,29,False,2
SU 29x229,229,224,215,OOP,SU,H70W,126,,"6,8,10,12,14",2019-04-17,174,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000079,2,White Lightning,H70,70,H,29,False,2
RMS-29/240,238,246.4,215.41,regular,reload,H210R,106.39999999999999,https://nar.org/SandT/pdf/Aerotech/H210.pdf,"4,6,8,10",2022-07-20,275.73,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000008c,1,Redline,H210,215.41,H,29,False,2
Pro29-4G,231,232,216.2,regular,reload,216H118-12A,102.8,,"3,5,7,9,12",2019-04-17,191.3,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000029a,1.83,Classic,H118,118.4,H,29,False,2
,289,,216.3,OOP,reload,H105DH,143.5,,,2019-04-17,,Kosdon,"Tripoli Rocketry Association, Inc.",Kosdon TRM,5f4294d2000231000000034b,1.87,Dirty Harry,H105,116.1,H,29,False,0
Pro29-4G,231,251.2,216.7,regular,reload,217H135-12A,119.8,,"3,5,7,9,12",2019-04-17,171.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000039a,1.6,White,H135,135.1,H,29,False,2
Pro29-4G,231,232,217.1,regular,reload,217H170-14A,102.3,,"5,7,9,11,14",2019-04-17,243.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000290,1.27,Blue Streak,H170,171.3,H,29,False,2
RMS-29/240,238,252,217.7,regular,reload,H180W,123.9,,"4,6,8,10",2019-04-17,228.5,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000008b,1.3,White Lightning,H180,180,H,29,False,2
,203,207,218,regular,SU,HP-H182R,115,,"6,8,10,12,14",2019-04-17,192,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000405,1.2,Redline,H182,182,H,29,False,2
RMS-29/240,238,250,220,regular,reload,H220T,106.39999999999999,https://nar.org/SandT/pdf/Aerotech/H220.pdf,"4,6,8,10,12,14",2022-07-20,275.5,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000008e,1,Blue Thunder,H220,220,H,29,False,2
Pro29-5G,276,272,220.5,regular,reload,220H160-14A,125,,"5,7,9,11,14",2019-04-17,191.9,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002a7,1.4,Skidmark,H160,159,H,29,True,1
RMS-38/240,152,252,221,regular,reload,H669N,98,,P,2019-04-17,961.5,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000009b,0.339,Warp 9,H669,651.4,H,38,False,2
38 20 M HP (185CC),508,598,222,regular,hybrid,H246-HP,110,,,2019-04-17,653,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d20002310000000092,0.9,,H246,238,H,38,False,2
RMS-38/240,152,275,223.6,regular,reload,H123W,128.7,,"4,6,8,10",2019-04-17,174.2,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000080,1.76,White Lightning,H123,123,H,38,False,1
H 38/220,533,664,224.5,OOP,hybrid,H124,142,,,2019-04-17,335.34,SkyR,"Tripoli Rocketry Association, Inc.",Sky Ripper Systems,5f4294d20002310000000081,1.7,,H124,124,H,38,False,2
38 20 S HP (185CC),516,612,225,regular,hybrid,H121-HP,110,,,2019-04-17,294,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d2000231000000007f,1.85,,H121,121,H,38,False,2
,216,212,225.84,regular,SU,HP-H135W,82,,"6,8,10,12,14",2019-04-17,159.88,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d200023100000003f1,1.95,White Lightning,H135,115.86,H,29,False,2
38/390,249,466,226,OOP,reload,H225BL,173,,,2019-04-17,240.35,Gorilla,"Tripoli Rocketry Association, Inc.",Gorilla Rocket Motors,5f4294d20002310000000273,1.2,Black Lightning,H225,225,H,38,True,1
DMS,153.1,261,226.8,regular,SU,H100W_DMS,121,,"6,8,10",2019-04-17,137.75,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000440,2.32,White Lightning,H100,97.7,H,38,False,2
H 38/220,533,664,228.68,OOP,hybrid,H155,142,,,2019-04-17,416.83,SkyR,"Tripoli Rocketry Association, Inc.",Sky Ripper Systems,5f4294d20002310000000089,1.69,,H155,155,H,38,False,2
Pro29-4G,231,232,229.3,regular,reload,229H255-14A,104.3,,"5,7,9,11,14",2019-04-17,363,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002c4,0.9,White Thunder,H255,254.3,H,29,False,2
RMS-29/240,238,256,231,regular,reload,H250G,116.3,,"4,6,8,10",2019-04-17,,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d200023100000001e3,0.9,Mojave Green,H250,250,H,29,False,2
RMS-38/240,152,264,231.7,regular,reload,H242T,114.7,,"4,6,8,10",2019-04-17,276.6,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000091,1.06,Blue Thunder,H242,242,H,38,False,3
Pro38-2G,186,297,232.4,regular,reload,232H123-14A,123,,"5,7,9,11,14",2021-06-13,153.3,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000239,1.9,Skidmark,H123,122.5,H,38,True,3
,220.7,202.2,232.95,regular,SU,H169WS-13,112,,"5,7,9,11,13",2019-12-12,231.41,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d20002310000000468,1.38,Super White Lightning,H169,168.8,H,29,False,2
,155,261,233,regular,SU,H219T,109,,"6,8,10,12,14",2020-10-16,279,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000044e,1.05,Blue Thunder,H219,222,H,38,False,2
Pro29-5G,276,286,234.2,regular,reload,234H53-12A,131.9,,"3,5,7,9,12",2019-04-17,101.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000414,4.44,Mellow,H53,52.7,H,29,False,1
38/240,117,335,234.37,regular,reload,H90-LR,120,https://www.lokiresearch.com/images/Documents/38mm%20Red.pdf,"5,8,10,14",2021-07-24,157.59,Loki,"Tripoli Rocketry Association, Inc.",Loki Research,5f4294d2000231000000023c,2.56,Loki Red,H90,89.28,H,38,False,2
,203,197,236.09,regular,SU,HP-H195NT,115,,"6,8,10,12,14",2020-11-26,247.16,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d200023100000003f3,1.14,New Blue Thunder,H195,206.68,H,29,False,2
,464,626.6,237,OOP,hybrid,240NS-H70,318.3,,,2021-06-13,171,PP,Canadian Association of Rocketry,Propulsion Polymers,5f4294d20002310000000078,3.16,,H70,72,H,38,False,1
38/240,190,336,239.25,regular,reload,H144-LW,126,https://www.lokiresearch.com/images/Documents/38mm%20White.pdf,"5,8,10,13,17",2021-07-24,254,Loki,"Tripoli Rocketry Association, Inc.",Loki Research,5f4294d20002310000000086,1.53,Loki White,H144,155,H,38,False,2
38/240,177.8,342,240,regular,reload,H125-CT,122,https://www.lokiresearch.com/images/Documents/38mm%20cocktail.pdf,"8,10,12,14,18",2021-07-24,206,Loki,"Tripoli Rocketry Association, Inc.",Loki Research,5f4294d20002310000000447,1.94,Cocktail,H125,124,H,38,False,1
,240,230,240.12,regular,SU,H14ST,134,,P,2023-05-07,42.13,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,6457b5ce8cd35f00024615fc,18.26,Super Thunder,H14,13.21,H,29,False,1
Kosdon 29-250,291,316,241.2,OOP,reload,H225R,133,,M,2019-04-17,281,KBA,"Tripoli Rocketry Association, Inc.",Kosdon by AeroTech,5f4294d20002310000000255,1.08,Redline,H225,221.8,H,29,False,1
Kosdon 29-250,291,709,246.3,OOP,reload,H130W,140,,M,2019-04-17,223.2,KBA,"Tripoli Rocketry Association, Inc.",Kosdon by AeroTech,5f4294d20002310000000254,1.85,White Lightning,H130,133,H,29,False,1
38 20 S PVC (185CC),508,612,247,regular,hybrid,H141-PVC,125,,,2019-04-17,297,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d20002310000000084,1.7,,H141,141,H,38,False,2
Pro38-2G,185,347,247,regular,reload,247H143-13A,165.4,,"4,6,8,10,13",2021-06-13,167,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000085,1.73,Smoky Sam,H143,142.4,H,38,False,2
,383,,247.4,OOP,reload,H200S,117.8,,13,2019-04-17,,Kosdon,"Tripoli Rocketry Association, Inc.",Kosdon TRM,5f4294d20002310000000346,1.2,Slow,H200,207.4,H,24,False,0
SU 38x172,172,292,249,OOP,SU,H48,145,,"8,P",2019-04-17,101,Ellis,"Tripoli Rocketry Association, Inc.",Ellis Mountain,5f4294d20002310000000074,4.4,,H48,48,H,38,False,2
Pro29-6G,320,342,252.7,regular,reload,253H295-13A,177.1,,"4,6,8,10,13",2019-04-17,359.5,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002bd,0.85,Smoky Sam,H295,296,H,29,False,2
Pro38-2G,186,283.6,255,regular,reload,255H400-13A,122.4,,"4,6,8,10,13",2019-04-17,448,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000025b,0.64,Vmax,H400,396,H,38,False,1
Pro38-2G,185,303.9,258,OOP,reload,H153,143.9,,,2019-04-17,188.3,Cesaroni,"Tripoli Rocketry Association, Inc.",Cesaroni Technology,5f4294d20002310000000088,1.75,,H153,153,H,38,False,2
Pro29-6G,320,314,258,regular,reload,258H180-14A,150,,"5,7,9,11,14",2019-04-17,266.1,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002a8,1.44,Skidmark,H180,179.6,H,29,True,2
,383,,259.1,OOP,reload,H365F,122.3,,15,2019-04-17,,Kosdon,"Tripoli Rocketry Association, Inc.",Kosdon TRM,5f4294d20002310000000347,0.7,Fast,H365,381.7,H,24,False,0
38/240,117,335,260.12,regular,reload,H160-LB,120,https://www.lokiresearch.com/images/Documents/38mm%20Blue.pdf,"7,9,12,15",2021-07-24,377.17,Loki,"Tripoli Rocketry Association, Inc.",Loki Research,5f4294d2000231000000023f,1.53,Loki Blue,H160,169.18,H,38,False,2
Pro29-5G,276,284,260.3,regular,reload,260H194-14A,136.4,,"7,9,11,14",2019-04-17,292,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002df,1.34,Red Lightning,H194,194.3,H,29,False,2
Pro38-2G,186,295,260.7,regular,reload,261H120-14A,136,,"5,7,9,11,14",2019-04-17,149.4,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000218,2.15,Red Lightning,H120,121.4,H,38,False,2
Pro29-5G,276,274,260.8,regular,reload,261H200-14A,127.90000000000002,,"5,7,9,11,14",2019-04-17,303.2,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000291,1.29,Blue Streak,H200,201.7,H,29,False,2
RMS-38/360,191,379.456,261.1,regular,reload,H112J,191.2,,"4,6,8,10",2019-04-17,121.7,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000007e,2.92,Blackjack,H112,112,H,38,False,2
,719,793.78,261.5,regular,hybrid,H248-PVC,184,,,2019-04-17,746,Contrail,"Tripoli Rocketry Association, Inc.",Contrail Rockets,5f4294d2000231000000020d,1.06,,H248,245,H,38,False,1
SU 29x279,279,,264,OOP,SU,H50,142,,"6,10",2019-04-17,109,Ellis,"Tripoli Rocketry Association, Inc.",Ellis Mountain,5f4294d20002310000000075,5,,H50,50,H,29,False,2
,292,,266,OOP,reload,H255F,125.3,,9,2019-04-17,,Kosdon,"Tripoli Rocketry Association, Inc.",Kosdon TRM,5f4294d2000231000000034c,1.03,Fast,H255,260.5,H,29,False,0
,403,450,266,OOP,hybrid,246H100-P,145.6,,,2019-04-17,174.9,WCH,Canadian Association of Rocketry,West Coast Hybrids,5f4294d2000231000000007d,2.56,,H100,96.9,H,38,False,1
Pro29-5G,276,277,268,regular,reload,268H140-11A,128.5,,"2,4,6,8,11",2019-04-17,247.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000029b,1.89,Classic,H140,141.8,H,29,False,2
Pro38-2G,186,325.3,269.1,regular,reload,269H110-14A,152.6,,"5,7,9,11,14",2019-04-17,127.5,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000039f,2.47,White,H110,109.3,H,38,False,2
Pro38-2G,186,193,273.2,regular,reload,273H225-14A,123.6,,"5,7,9,11,14",2019-04-17,254.1,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000219,1.21,White Thunder,H225,226.33,H,38,False,1
Pro38-2G,185,298,275.93,regular,reload,276H152-15A,138,,"6,8,10,12,15",2019-04-17,212.41,Cesaroni,"Tripoli Rocketry Association, Inc.",Cesaroni Technology,5f4294d200023100000002eb,1.9139,Blue Streak,H152,152.41,H,38,False,2
Pro29-6G,320,294,282.2,regular,reload,282H399-12A,132.6,,"3,5,7,9,12",2019-04-17,545.8,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002c5,0.71,White Thunder,H399,399.3,H,29,False,2
RMS-38/360,191,324,283,regular,reload,H178DM,177,,"6,8,10,12,14",2019-04-17,202,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d200023100000003c5,1.74,Dark Matter,H178,162,H,38,True,2
Pro38-2G,186,293,285.6,regular,reload,266H125-12A,125,,"3,5,7,9,12",2021-06-13,152.9,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d20002310000000236,2.15,Classic,H125,125.1,H,38,False,2
Pro38-2G,186,327,286.4,regular,reload,286H100-15A,154.4,,"6,8,10,12,15",2019-04-17,117.9,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002cb,2.82,Imax,H100,101.7,H,38,False,2
