Name,Image URL,Complexity,Diameter,Height,Weight,Motor Mount,Parachute Size,Shock Cord Type,Shock Cord Mount,Fin Thickness,Ring Thickness,Instructions,Decal,Launch Pad,Price,Product URL,Currency,SKU,Stock Status,Description,Rail Buttons,Links,Vinyl Decals,Tec features,Decals,Fire Blanket,Vinyl Decal,Parachute,Fin Array,Rocksim,Parachutes,Additional Decals
"7.5"" Patriot",https://locprecision.com/cdn/shop/products/49_49efba00-e28b-4373-896d-19c75600b758_1024x1024.jpg?v=1623486629,,,,,,,,,,,,,,292.11,https://locprecision.com/products/ypat75,USD,YPAT75,http://schema.org/InStock,,,"[{'text': 'YTN-4', 'href': '/products/y-harness/'}, {'text': 'YPAT75-2020-Instructions', 'href': 'https://cdn.shopify.com/s/files/1/0568/7489/3503/files/YPAT75-2020-Instructions.pdf?v=1623679580'}, {'text': '7.5"" PATRIOT Rocksim', 'href': 'https://cdn.shopify.com/s/files/1/0568/7489/3503/files/YPAT75-2.zip?v=1623679525'}]",,,,,,,,,,
"Sandhawk 3.10""",https://locprecision.com/cdn/shop/products/YSHawk3-Cut_1024x1024.jpg?v=1627158875,,,,,,,,,,,,,,129.43,https://locprecision.com/products/sandhawk,USD,YSHAWK3EB,http://schema.org/OutOfStock,,,"[{'text': 'Sandhawk 3.10"" Instructions', 'href': 'https://cdn.shopify.com/s/files/1/0568/7489/3503/files/YSHAWK3_Instructions.pdf?v=1682710560'}]",,,,,,,,,,
I-ROC,https://locprecision.com/cdn/shop/products/IROC-Cut_1024x1024.jpg?v=1627160672, ,, ,,, ,,,, ,,,,162.37,https://locprecision.com/products/i-roc,USD,PK-76,http://schema.org/InStock,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,
